Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,146.820007,148.289993,137.550003,144.630005,144.359924,10816700
2021-08-05,146.000000,151.720001,145.110001,150.979996,150.698059,5893200
2021-08-06,150.000000,153.500000,148.479996,150.190002,149.909546,3473100
2021-08-09,150.729996,151.500000,148.130005,148.960007,148.681839,3875300
2021-08-10,151.210007,151.210007,145.639999,146.550003,146.276337,2040700
2021-08-11,147.009995,149.000000,145.880005,147.919998,147.643784,2534100
2021-08-12,146.910004,148.229996,145.550003,145.949997,145.677460,1762600
2021-08-13,145.669998,148.000000,144.839996,146.630005,146.356201,1466500
2021-08-16,146.259995,146.490005,141.600006,142.639999,142.373642,1995700
2021-08-17,141.000000,142.660004,139.089996,142.639999,142.373642,1593300
2021-08-18,142.500000,144.250000,141.160004,141.309998,141.046127,1708900
2021-08-19,140.479996,144.429993,138.600006,142.509995,142.243881,2350200
2021-08-20,142.500000,145.229996,142.500000,144.270004,144.000595,1749100
2021-08-23,152.000000,154.309998,148.820007,153.520004,153.233322,4976600
2021-08-24,153.509995,153.869995,151.229996,153.089996,152.804123,2385200
2021-08-25,153.679993,156.500000,152.050003,153.250000,152.963821,1847100
2021-08-26,152.820007,153.660004,150.460007,151.070007,150.787903,1359600
2021-08-27,151.350006,156.429993,151.240005,156.270004,155.978195,1771700
2021-08-30,157.000000,159.300003,154.369995,155.070007,154.780441,1310400
2021-08-31,155.740005,156.679993,152.259995,155.589996,155.299454,1816700
2021-09-01,156.110001,157.589996,154.360001,154.470001,154.181549,1021500
2021-09-02,155.199997,155.199997,152.029999,154.139999,153.852173,1134400
2021-09-03,153.289993,156.490005,153.240005,155.960007,155.668777,1011700
2021-09-07,155.899994,156.220001,154.000000,154.750000,154.461029,805100
2021-09-08,154.070007,154.500000,151.779999,153.309998,153.023712,1620900
2021-09-09,153.350006,154.979996,153.169998,154.169998,153.882111,877000
2021-09-10,154.850006,157.300003,153.910004,155.059998,154.770447,1380900
2021-09-13,156.429993,156.539993,151.350006,155.020004,154.730530,1247500
2021-09-14,155.679993,158.479996,154.529999,155.580002,155.289474,1729300
2021-09-15,156.169998,157.830002,153.250000,157.759995,157.465408,1943400
2021-09-16,155.940002,158.080002,154.380005,157.250000,156.956360,1903200
2021-09-17,156.289993,156.720001,152.880005,153.779999,153.492844,3360400
2021-09-20,150.899994,152.119995,147.139999,149.940002,149.660019,1995200
2021-09-21,151.080002,152.919998,149.940002,151.250000,150.967560,1801600
2021-09-22,152.360001,154.479996,151.570007,153.820007,153.532776,1112900
2021-09-23,154.589996,157.399994,154.169998,156.199997,155.908310,1629700
2021-09-24,155.479996,157.759995,154.250000,157.240005,156.946381,1356900
2021-09-27,156.630005,160.399994,154.330002,159.669998,159.371841,1682500
2021-09-28,158.330002,159.949997,150.910004,151.059998,150.777908,2173500
2021-09-29,151.000000,152.809998,148.220001,148.279999,148.003113,1404800
2021-09-30,150.259995,153.990005,150.160004,150.990005,150.708054,2162500
2021-10-01,151.820007,152.210007,148.649994,151.869995,151.586395,2017000
2021-10-04,151.210007,151.210007,147.440002,148.020004,147.743591,2518600
2021-10-05,148.490005,153.160004,148.490005,151.770004,151.486603,1477000
2021-10-06,149.740005,154.089996,149.139999,153.839996,153.552719,1074800
2021-10-07,155.240005,161.029999,154.630005,158.070007,157.774841,1645800
2021-10-08,159.000000,159.479996,155.979996,156.270004,155.978195,2214200
2021-10-11,155.000000,159.179993,153.830002,155.199997,154.910187,768800
2021-10-12,155.960007,156.949997,154.800003,155.910004,155.618866,2421200
2021-10-13,157.460007,162.949997,157.460007,161.649994,161.348129,1752500
2021-10-14,164.449997,166.240005,162.610001,165.809998,165.500366,1632100
2021-10-15,167.059998,167.490005,165.029999,167.149994,166.837860,1723600
2021-10-18,165.960007,170.660004,165.770004,170.389999,170.071823,2980300
2021-10-19,170.610001,171.600006,167.800003,170.240005,169.922104,1534200
2021-10-20,170.190002,172.869995,169.149994,170.369995,170.051849,1259200
2021-10-21,170.050003,173.919998,170.050003,173.740005,173.415573,1237700
2021-10-22,174.729996,175.649994,171.880005,172.589996,172.267715,1557600
2021-10-25,173.529999,176.270004,171.949997,175.309998,174.982635,1102800
2021-10-26,177.059998,179.330002,171.410004,171.880005,171.559052,2536800
2021-10-27,174.830002,186.000000,174.050003,180.850006,180.512299,4123300
2021-10-28,184.289993,185.720001,179.029999,180.839996,180.502304,3929600
